trader_address_label,Entity,trader_address,account_value,roi,total_pnl(unrealize profit)
Whale [0x162cc7],retail,0x162cc7c861ebd0c06b3d72319201150482518185,"9,422,751.79",0.00,"213,701.11"
High Balance [0x8cc94d],retail,0x8cc94dc843e1ea7a19805e0cca43001123512b6a,"8,226,750.08",0.00,"237,269.97"
Whale [0xd911e5],retail,0xd911e53d53b663972254e086450fd6198a25961e,"7,704,711.31",0.07,"357,503.34"
High Balance [0x5bc43f],retail,0x5bc43f38c2ddcd85857f218674cd384f172c3b0c,"7,263,991.17",0.06,"313,491.16"
High Activity [0xe86b05],retail,0xe86b057f5eb764c9738d6b0d38170befd0723664,"7,079,262.19",0.00,"391,467.56"
High Activity [0x123dbc],retail,0x123dbca6a27005a3c4ce10cb66ee8ece8fc13bff,"6,871,191.78",0.01,"463,673.15"
Whale [0xb8eb97],retail,0xb8eb97eaed8367079894d2f1bed69bd220ec1dd5,"6,796,652.34",0.12,"229,649.52"
Bridge User [0xd4c1f7],retail,0xd4c1f7e8d876c4749228d515473d36f919583d1d,"6,642,117.49",0.01,"1,526,086.40"
[0x7ca165],retail,0x7ca165f354e3260e2f8d5a7508cc9dd2fa009235,"6,016,296.32",0.06,"625,393.23"
Selini Capital [0x39475d],VCs,0x39475d17bcd20adc540e647dae6781b153fbf3b1,"5,956,163.22",0.00,"461,432.89"
Token Millionaire [0xc613bd],retail,0xc613bd93c62e62bf3e583c36ae8c4118f1fb2456,"5,865,412.69",0.03,"931,046.80"
Trading Bot [0x720a68],retail,0x720a68bf0813853cd3ed74d2fd0f54edfc7a43e1,"5,500,370.03",0.03,"198,308.63"
Former Smart Trader [0x2ba553],retail,0x2ba553d9f990a3b66b03b2dc0d030dfc1c061036,"5,276,103.16",0.08,"432,993.57"
Medium Dex Trader [0xb798ae],retail,0xb798aef79972ce8f73d47b9ebbcda6bbb7ec4fbf,"5,096,496.53",0.03,"400,393.09"
High Balance [0xd6ef56],retail,0xd6ef5649200101eb44ce8949f4cfb167b0c5a07a,"5,026,799.50",0.00,"294,107.19"
Top 100 on AVAX Leaderboard [0xf28e1b],retail,0xf28e1b06e00e8774c612e31ab3ac35d5a720085f,"4,954,126.35",0.10,"181,362.79"
Trading Bot [0xac7476],retail,0xac7476e14f768e3e67c195e79c2490dd20c70127,"4,889,784.00",0.00,"187,165.63"
High Activity [0x3fc56e],retail,0x3fc56e944aa7b1594c85861b2d46a07f82a2c0c1,"4,765,261.67",0.04,"102,609.58"
[0xc6ac58],retail,0xc6ac58a7a63339898aeda32499a8238a46d88e84,"4,671,431.34",0.01,"221,973.47"
Smart HL Perps Trader [0x99b109],retail,0x99b1098d9d50aa076f78bd26ab22e6abd3710729,"4,583,065.48",0.05,"682,250.01"
High Activity [0x202513],retail,0x2025137a136bea7446deba681cbfc7cf1970840e,"4,557,560.01",0.00,"557,354.12"
High Balance [0x3440f2],retail,0x3440f23a87f1950e7a88cd248fd270e92d1132c5,"4,287,719.07",0.03,"667,829.78"
Selini Capital [0x95995f],VCs,0x95995f302ad58138d791ce49f9f3b1274e80c60a,"4,271,031.21",0.11,"128,713.58"
bergspyder.eth [0x6859da],retail,0x6859da14835424957a1e6b397d8026b1d9ff7e1e,"4,269,636.79",0.01,"958,932.92"
Trading Bot [0x7a6d5f],retail,0x7a6d5fc57f6906f337c48fe2763c3a501304f79c,"3,963,173.57",0.01,"154,913.29"
Smart HL Perps Trader [0xfce053],retail,0xfce053a5e461683454bf37ad66d20344c0e3f4c0,"3,879,232.68",0.02,"415,587.99"
Smart HL Perps Trader [0x0c4926],retail,0x0c4926daf1250b8da7b9fc339f304d923b94d346,"3,183,133.85",0.05,"104,474.99"
[0x7eb902],retail,0x7eb9026d0183942458bd4660371c3cc0a2df3beb,"3,178,357.78",0.08,"196,128.51"
Whale [0x4a9603],retail,0x4a96036fb1529561fa3eeeb2781fad2d4f25500e,"3,165,233.49",0.01,"150,456.60"
[0x0fd468],retail,0x0fd468a73084daa6ea77a9261e40fdec3e67e0c7,"3,101,180.44",0.06,"368,852.69"
Smart HL Perps Trader [0xe2f86f],retail,0xe2f86feccb1207710a442bc4e27a0701a290275a,"2,954,502.78",0.09,"193,999.23"
Smart HL Perps Trader [0x6bea81],retail,0x6bea81d7a0c5939a5ce5552e125ab57216cc597f,"2,833,759.32",0.16,"254,674.73"
High Balance [0xd487e2],retail,0xd487e26c62ed8c28ce3cc70b5791e501c2934982,"2,822,045.45",0.01,"901,435.28"
[0x335f45],retail,0x335f45392f8d87745aaae68f5c192849afd9b60e,"2,799,996.84",0.06,"307,356.98"
[0xbb475f],retail,0xbb475febf78b528f4f0d4ae1a12541406565199c,"2,788,594.56",0.06,"307,596.90"
Selini Capital [0x34fb5e],VCs,0x34fb5ec7d4e939161946340ea2a1f29254b893de,"2,722,120.01",0.00,"152,071.31"
Whale [0x514ad8],retail,0x514ad80730593801036e2934bcda9b4e90221b4d,"2,546,657.07",0.10,"109,014.04"
[0xb632c6],retail,0xb632c6580173a16154f17cdafc6eb27e95cf73b7,"2,527,819.95",0.10,"246,156.71"
Selini Capital [0x621c55],VCs,0x621c5551678189b9a6c94d929924c225ff1d63ab,"2,507,054.12",0.00,"190,112.78"
High Balance [0xfc079a],retail,0xfc079a49e371976f559bea0cd1c1f87a5f5b9464,"2,422,473.35",0.06,"179,754.19"
Manifold Trading [0x091144],retail,0x091144e651b334341eabdbbbfed644ad0100023e,"2,340,578.98",0.01,"282,868.91"
Whale [0xaded86],retail,0xaded86bf6e6fd72f78dca132af112fa36230809e,"2,212,462.91",0.02,"277,158.40"
Yield Farmer [0x5f94a5],retail,0x5f94a51948d2376ad34a6fadfa2544e651b74b96,"2,142,490.28",0.17,"408,661.78"
Smart HL Perps Trader [0x570b09],retail,0x570b09e27a87f9acbce49f85056745d29b3ee3c6,"2,097,740.91",0.04,"447,532.96"
High Activity [0x833b99],retail,0x833b99b27dac651d02080f5e220e929df891db06,"1,995,788.12",0.01,"175,145.72"
High Balance [0xd96ea3],retail,0xd96ea3bcce83d4e1ef8abd1776eecd0cea1bb09e,"1,790,200.35",0.05,"650,292.33"
"""yantngz"" on OpenSea [0xd7a678]",retail,0xd7a678fcf72c1b602850ef2f3e2d668ec41fa0ed,"1,694,559.41",0.21,"1,592,091.73"
[0x3ff54f],retail,0x3ff54fd26855db3758d0b5ae7aed47440c47f705,"1,685,266.95",0.02,"101,623.78"
High Activity [0xae7a0f],retail,0xae7a0f9f663bb54bfe95378c7e3de7dd6e28d6bc,"1,554,212.19",0.00,"336,522.53"
Former Smart Trader [0x41206f],retail,0x41206f8efb51e5039e5b46e04e7866a4849f72d2,"1,539,578.55",0.04,"197,052.94"
[0xd7b19f],retail,0xd7b19f8aaf5c9619bd5141945a73d2ca74984451,"1,473,847.98",0.17,"446,146.45"
[0xe9d199],retail,0xe9d199fd55a2560e3193f330e017192316ecd2d3,"1,452,875.90",0.01,"194,647.64"
High Activity [0xf58b67],retail,0xf58b673c1633ccef0ac58263cdc95ed80f817fc7,"1,281,894.99",0.01,"116,673.48"
Former Smart Trader [0x7a7da8],retail,0x7a7da855c61ba2326decf722691c6e2d14a50344,"1,257,764.58",0.06,"146,590.27"
[0x0a06ec],retail,0x0a06ec6754b628be489b2c40bba20c8580392a7b,"1,190,944.44",0.01,"141,051.31"
High Activity [0x27c9fa],retail,0x27c9fa86c91b84ddfa15de58c482ff662498d65d,"1,170,963.80",0.00,"161,179.05"
High Activity [0xa930cd],retail,0xa930cdefd5c41bbb92081faa33afdd5b3ba0c999,"1,100,719.48",0.11,"423,243.30"
High Activity [0xd6e1a6],retail,0xd6e1a6f7bb47aca69aaa511210227d40926ff256,"1,091,662.46",0.05,"119,776.49"
[0x779e5e],retail,0x779e5e469d5de3a13e563f736ffcf47ebe5584c5,"1,058,418.03",0.23,"230,357.58"
[0xebcfa0],retail,0xebcfa0e05df4c406f4a166b1318581134a8537c0,"1,049,518.97",0.05,"140,685.20"
[0x3d89bc],retail,0x3d89bcea338f35edfaeb313b1c713978c6dceb14,"935,417.93",0.00,"125,894.59"
[0x9b86b5],retail,0x9b86b5e96ca9f278f9cb62e118e67937a9350653,"903,170.15",0.29,"441,179.69"
High Activity [0x7e1e06],retail,0x7e1e06ae756fa83412b3830c39f43a5503d6e3bd,"881,562.96",0.00,"402,436.90"
oshobali.eth* [0x2b02ef],retail,0x2b02efbf4fa4585ae3cc9d81913770e9b12484db,"820,891.02",0.18,"121,123.97"
Former Smart Trader [0x7da85a],retail,0x7da85a334e43a6b1c2c0da9623409d9ee9047747,"785,240.70",0.01,"195,007.56"
[0x6979dd],retail,0x6979dde2781dc4ec843641b10b2a2f2e0f4bda62,"756,325.52",0.12,"731,483.71"
High Balance [0x458291],retail,0x45829143c5f29cd31566bede323f074861f48044,"743,573.59",0.05,"196,077.60"
High Balance [0x92e977],retail,0x92e9773ad2b4ba6e2e57e7fc1f9305aef80ab6c2,"669,685.75",0.07,"105,341.32"
tuckie.eth [0x11eee2],retail,0x11eee2e0a613af4f636e23ff295e2dac6a191d1d,"659,029.08",0.02,"146,241.62"
pleasebepatientwithme.eth [0x2c4ebd],retail,0x2c4ebdcd592a74b4022ad9d1fb00ab6976abe483,"641,517.20",0.02,"107,970.96"
[0xb8b26c],retail,0xb8b26c60dc88bc010a424404cf393c83b4a4b906,"635,872.34",0.04,"136,257.54"
[0x0926f7],retail,0x0926f77ea235314df97199f7d90848037b38a6da,"632,417.46",0.02,"296,366.64"
[0x3ff73e],retail,0x3ff73eae520b053e82449eda5c9cf719c38aa48c,"608,891.76",0.03,"123,854.43"
High Balance [0xaed022],retail,0xaed022949be3988afef024762f1286f3294348af,"588,128.69",0.04,"121,097.35"
Nervous Degen: Funded @NateGoldstein On Friendtech [0xa4dedd],retail,0xa4dedda59f2908b92ae192cfd494839373bcb3c4,"570,596.59",0.03,"147,832.55"
Smart HL Perps Trader [0x705e54],retail,0x705e54faaa515bc86c83fb4803000eebeccbf167,"541,890.19",0.21,"140,133.65"
Smart HL Perps Trader [0xbe494a],retail,0xbe494a5e3a719a78a45a47ab453b7b0199b9d101,"503,911.53",0.20,"768,571.16"
[0xeaf350],retail,0xeaf35054804ab7ed6b8cb070296dd6bb38abb4b1,"499,794.34",0.03,"104,216.93"
donkstrategy.eth [0x649156],retail,0x649156ebf0a350deb18a1e4835873defd4dc5349,"485,260.64",0.19,"489,340.99"
[0x7a420a],retail,0x7a420aebedabd3b8f6c7a3e1df73924c71194bac,"461,313.29",0.02,"139,591.89"
Top 100 on PEPE Leaderboard [0x3042a6],retail,0x3042a6db38c1027c51db4538016cd9d99e5fbc0f,"458,156.61",0.00,"133,116.85"
[0xf87403],retail,0xf874039b239c1bda68b6b342dd0a5680e34a8c33,"437,257.73",0.04,"122,014.23"
[0x9deef0],retail,0x9deef087fbd279c29980754d7a2f63e66d4634c2,"382,429.65",0.18,"219,040.71"
[0x419faf],retail,0x419faf18c082ab1b0fce9ff447c38168a9f45593,"376,539.24",0.00,"334,274.85"
steelgroup.eth [0x222db1],retail,0x222db1e3abb6dc772e5dbdbe5ae553e338666666,"355,977.72",0.05,"151,354.18"
Smart HL Perps Trader [0x106943],retail,0x106943709714fb0e5e62b82f5013ebc762591ae1,"335,111.35",0.14,"152,546.94"
[0x49c8ea],retail,0x49c8ea6e059fefd5f32b78c581d22767d8cc32b3,"329,602.57",0.00,"326,181.25"
High Balance [0xccf135],retail,0xccf135ab352d561a15eb7be2a243cc4fcb7f0ab1,"276,373.72",0.27,"266,893.79"
Passive Uniswap V3 LP [0x975f17],retail,0x975f178fd8a566d98bc935340064c691fa4d8881,"245,726.82",0.16,"389,413.61"
High Balance [0x0eba57],retail,0x0eba5721065f961bced568527bfa03ea9ed61a00,"201,853.39",0.32,"139,097.39"
DeFi Manager [0xbf732e],retail,0xbf732ea04197942783e34730ed6e0f6099575d58,"183,384.56",0.02,"103,493.39"
[0x6a572b],retail,0x6a572bb9d31ff710f882f33c21d8ba11a169a887,"158,802.98",0.03,"115,880.69"
